objectid,system_id,format,title,item_type,author,primary_investigator,supervisor,all_people,date,date-range,department,college,desciprition,amount,status,sponsor,prime,notes,abstract,subject,language,format_description,identifier,degree,publisher,permalink,proposal,due_date,direct,indirect,oh_rate,start_date,end_date,approval,action
ikdb117,CP71260684600001451,record,An interdisciplinary exploration of the intersection between economic value and ecological quality to inform Palouse Prairie conservation,Thesis,Kevin A. Decker,,Philip (Philip Scott) Watson,Kevin A. Decker ; Philip (Philip Scott) Watson,2016,,Environmental Science,,"Abstract: The Palouse Prairie is a critically endangered ecosystem located in northern Idaho and eastern Washington. Its successful conservation will require an understanding of its ecological functioning to determine how best to restore function to degraded sites and the social value for conservation to understand the region's priorities and preferences. This dissertation explores the nuances of calculating the economic value of ecological quality in six chapters. The first chapter provides a brief history of the Palouse Prairie and provides context for how it has arrived at its current degraded state. The second chapter assesses the positive and negative effects of alternative methods for presenting ecological quality to respondents within a choice experiment survey; it evaluates the significance of sociodemographic variables on whether residents choose to conserve or not conserve Palouse Prairie, and it compares the relative importance of the attributes on Palouse Prairie conservation. Economic value for Palouse Prairie conservation was determined based on a choice experiment that includes the attributes of size, ecological quality, the giant Palouse earthworm, rare plants, public access, and cost. The third chapter evaluates the interaction between sense of place and economic value. It considers perspectives on whether or not it is appropriate to use a monetary value to inform conservation decisions and it evaluates the importance, qualitatively, of the Palouse Prairie to residents and their families. The fourth chapter uses economic values from the choice experiment and generates a composite measure of ecological quality using factor analysis to assign an indirect willingness to pay for individual measures of ecological quality. The fifth chapter evaluates the importance of culturally significant plants on the Palouse Prairie through an alternative valuation methodology based on semi-structured interviews and a general population survey which focuses on the perspectives of both Indigenous and non-Indigenous populations. The final chapter summarizes the significance of the work and provides an overview of how the results can be integrated into policy. An Interdisciplinary approach was central to the development, analysis, and interpretation of this research. | Major professor: Philip Watson.; Includes bibliographical references (pages 152-178).",,,,,Major professor: Philip Watson.; Includes bibliographical references (pages 152-178).,"Abstract: The Palouse Prairie is a critically endangered ecosystem located in northern Idaho and eastern Washington. Its successful conservation will require an understanding of its ecological functioning to determine how best to restore function to degraded sites and the social value for conservation to understand the region's priorities and preferences. This dissertation explores the nuances of calculating the economic value of ecological quality in six chapters. The first chapter provides a brief history of the Palouse Prairie and provides context for how it has arrived at its current degraded state. The second chapter assesses the positive and negative effects of alternative methods for presenting ecological quality to respondents within a choice experiment survey; it evaluates the significance of sociodemographic variables on whether residents choose to conserve or not conserve Palouse Prairie, and it compares the relative importance of the attributes on Palouse Prairie conservation. Economic value for Palouse Prairie conservation was determined based on a choice experiment that includes the attributes of size, ecological quality, the giant Palouse earthworm, rare plants, public access, and cost. The third chapter evaluates the interaction between sense of place and economic value. It considers perspectives on whether or not it is appropriate to use a monetary value to inform conservation decisions and it evaluates the importance, qualitatively, of the Palouse Prairie to residents and their families. The fourth chapter uses economic values from the choice experiment and generates a composite measure of ecological quality using factor analysis to assign an indirect willingness to pay for individual measures of ecological quality. The fifth chapter evaluates the importance of culturally significant plants on the Palouse Prairie through an alternative valuation methodology based on semi-structured interviews and a general population survey which focuses on the perspectives of both Indigenous and non-Indigenous populations. The final chapter summarizes the significance of the work and provides an overview of how the results can be integrated into policy. An Interdisciplinary approach was central to the development, analysis, and interpretation of this research.",Prairie conservation -- Palouse Region (Idaho and Wash.);  Prairie conservation -- Economic aspects -- Palouse Region (Idaho and Wash.),eng,"1 online resource (xx, 255 pages) : illustrations",ISBN: 9781369043785 ; ISBN: 1369043783,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71260684600001451,,,,,,,,,
ikdb118,CP99211675901851,record,Comparative role of the military in the political transition in Libya and Egypt,Thesis,Ali Musbah Mohamed El-wahishi,,Nickolas Jorgensen,Ali Musbah Mohamed El-wahishi ; Nickolas Jorgensen,2013,,Political Science,,"Abstract: Political transition is defined as moving from an old regime to a new regime through different manners that could be peaceful or violent. Although political transition is a natural phenomenon that continuously occurs in different regions of the world, it was not expected to occur in the Arab world. The Arab world has been deprived of democracy for decades; there was no sign of change. Most Arab leaders prepared their sons to assume the power, but the events of 2011 developed rapidly in Tunis, Egypt, and Libya, which foiled their plans and surprised domestic and foreign observers alike. The contagion spread like wildfire to other Arab countries: some succeeded in changing their regimes, and others are still struggling for change. The military was the main actor in the political transition in Tunis, Egypt and Libya, whether through forcing their presidents to leave power as in Tunis and Egypt, or dividing into two parts as in Libya, which entered the country into civil war ended by the death of Qaddafi, who was one of the longest dictatorships in the world, holding political power for more than four decades.; This study concludes that the transition in Libya was more violent than in Egypt because of the low level of institutionalization of the Libyan military institution. Qaddafi deliberately weakened the military institution because he felt that it constituted a danger to his regime. For this reason, he established security battalions that were better armed than the regular military, and he appointed his sons, his tribe's members, and other loyalists as commanders of these battalions. There was no connection between these units as a single military institution. Once the revolution started, some military units joined the revolutionaries and others stood with the regime, which resulted in the armed conflict. In contrast, in Egypt, the country had established a strong military institution since the coup of 1952. The Egyptian military institution protected the country's institutions from vandalism and civilians during the 2011 revolution and put an end to Mubarak's regime. Despite the several hundred deaths in the Egyptian revolution, the military institution made the transition in Egypt more peaceful compared to Libya. | Major professor: Nickolas Jorgensen.; Includes bibliographical references.",,,,,Major professor: Nickolas Jorgensen.; Includes bibliographical references.,"Abstract: Political transition is defined as moving from an old regime to a new regime through different manners that could be peaceful or violent. Although political transition is a natural phenomenon that continuously occurs in different regions of the world, it was not expected to occur in the Arab world. The Arab world has been deprived of democracy for decades; there was no sign of change. Most Arab leaders prepared their sons to assume the power, but the events of 2011 developed rapidly in Tunis, Egypt, and Libya, which foiled their plans and surprised domestic and foreign observers alike. The contagion spread like wildfire to other Arab countries: some succeeded in changing their regimes, and others are still struggling for change. The military was the main actor in the political transition in Tunis, Egypt and Libya, whether through forcing their presidents to leave power as in Tunis and Egypt, or dividing into two parts as in Libya, which entered the country into civil war ended by the death of Qaddafi, who was one of the longest dictatorships in the world, holding political power for more than four decades.; This study concludes that the transition in Libya was more violent than in Egypt because of the low level of institutionalization of the Libyan military institution. Qaddafi deliberately weakened the military institution because he felt that it constituted a danger to his regime. For this reason, he established security battalions that were better armed than the regular military, and he appointed his sons, his tribe's members, and other loyalists as commanders of these battalions. There was no connection between these units as a single military institution. Once the revolution started, some military units joined the revolutionaries and others stood with the regime, which resulted in the armed conflict. In contrast, in Egypt, the country had established a strong military institution since the coup of 1952. The Egyptian military institution protected the country's institutions from vandalism and civilians during the 2011 revolution and put an end to Mubarak's regime. Despite the several hundred deaths in the Egyptian revolution, the military institution made the transition in Egypt more peaceful compared to Libya.","Civil-military relations -- Egypt;  Civil-military relations -- Libya;  Regime change -- Egypt -- 21st century;  Regime change -- Libya -- 21st century;  Egypt -- Armed Forces;  Egypt -- History -- Protests, 2011-;  Libya -- Armed Forces;  Libya -- History -- Civil War, 2011-",eng,"1 online resource (xii, 127 pages) 1 illustration, 1 map.",,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP99211675901851,,,,,,,,,
ikdb119,CP71326393880001451,record,"Reconnecting with the sacrament : an exploration of legal, economic, and social barriers to the Peyote Gardens Shoshone-Paiute case study",Thesis,Joseph B. Walker,,"Rodney Frey, 1950- degree supervisor.","Joseph B. Walker ; Rodney Frey, 1950- degree supervisor.",2019,,Anthropology,,"Abstract: The Peyote cactus is the sacred Sacrament of the Native American Church (NAC) and peyotists and they use it in their ceremonies to commune with God. The intricacies of the procurement of Peyote by tribes is not without issue and includes a complex of state and federal regulation, economic factors based on supply and demand of Peyote, and the most important issue of the ability to access the cactus for commercial harvest by a select few DEA licensed Peyote distributors (peyoteros) whom obtain it from private land in the Rio Grande Valley of South Texas known as the Peyote Gardens. Nearly the entire commercially available supply of Peyote for the NAC and peyotists exists on private property in Star, Webb, Jim Hogg, and Zapata counties. The Shoshone-Paiute Tribes of the Duck Valley Indian Reservation have practiced Peyote ceremonies since at least 1934 along with other forms of spirituality including the Sundance and traditional Paiute spirituality. This thesis research will address how these economic, regulatory, and relationship-based access obstacles are experienced by Paiute Peyote roadmen, brothers Reggie and Murray Sope, using excerpts from semi-structured ethnographic interviews with them and critical analysis of federal and state regulations governing the Peyote economy. | Major professor: Rodney Frey.; Includes bibliographical references (leaves 81-84).",,,,,Major professor: Rodney Frey.; Includes bibliographical references (leaves 81-84).,"Abstract: The Peyote cactus is the sacred Sacrament of the Native American Church (NAC) and peyotists and they use it in their ceremonies to commune with God. The intricacies of the procurement of Peyote by tribes is not without issue and includes a complex of state and federal regulation, economic factors based on supply and demand of Peyote, and the most important issue of the ability to access the cactus for commercial harvest by a select few DEA licensed Peyote distributors (peyoteros) whom obtain it from private land in the Rio Grande Valley of South Texas known as the Peyote Gardens. Nearly the entire commercially available supply of Peyote for the NAC and peyotists exists on private property in Star, Webb, Jim Hogg, and Zapata counties. The Shoshone-Paiute Tribes of the Duck Valley Indian Reservation have practiced Peyote ceremonies since at least 1934 along with other forms of spirituality including the Sundance and traditional Paiute spirituality. This thesis research will address how these economic, regulatory, and relationship-based access obstacles are experienced by Paiute Peyote roadmen, brothers Reggie and Murray Sope, using excerpts from semi-structured ethnographic interviews with them and critical analysis of federal and state regulations governing the Peyote economy.","Indians of North America -- Religion; Peyotism -- Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada; Paiute Indians -- Interviews; Peyote -- Economic aspects -- Texas, South; Peyote -- Law and legislation -- Texas, South",eng,"x, 100 leaves : color illustrations ; 29 cm",Print ISBN: 9781085614894,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71326393880001451,,,,,,,,,
ikdb120,CP71243330610001451,record,"Water management and structuration theory : a case study in the Coeur d'Alene, Idaho--Spokane, Washington region",Thesis,Jessica (Jessica Renae) Daniel,,Patrick R. (Patrick Ross) Wilson,Jessica (Jessica Renae) Daniel ; Patrick R. (Patrick Ross) Wilson,2015,,Water Resources,,"There is a lack of understanding about how the interplay between individual actions and social structures informs water management practices. While Structuration Theory provides a holistic examination of individual and structural levels, it is not robustly applied in water management settings. Such an integrated understanding is critical when water crosses jurisdictions and management responsibilities are fragmented among organizations. This situation exists in the case study area, the Coeur d'Alene, Idaho---Spokane, Washington region. Primary qualitative data were collected through interviews with water management, use, allocation, and protection actors. Snowball sampling generated this interview sample. An interdisciplinary component integrated hydrology, environmental science, and engineering data to contextualize interviews, frame analysis, and provide biophysical information. Results were analyzed with respect to Structuration Theory's propositions and concepts. Overall, actors realized collaboration's benefits and held pro-collaborative perspectives, but regulations and institutional arrangements constrained collaboration's scope. Thus, collaborative behaviors were limited to data collection and sharing, capacity building, and relationship development. Norms, state, tribal, and federal regulations, and the differences between Washington and Idaho water management institutions were important components of the water management system. Even with trends towards collaboration and strategic, context-appropriate management behaviors, social structures informed behavior more than actors affected them. This study demonstrated Structuration Theory's explanatory value in framing and understanding complex water management systems. This successful application argues for the appropriateness of and need for enhanced empirical use of Structuration Theory within water management research. | Major professor: Patrick Wilson.; Includes bibliographical references (pages 150-161).",,,,,Major professor: Patrick Wilson.; Includes bibliographical references (pages 150-161).,"There is a lack of understanding about how the interplay between individual actions and social structures informs water management practices. While Structuration Theory provides a holistic examination of individual and structural levels, it is not robustly applied in water management settings. Such an integrated understanding is critical when water crosses jurisdictions and management responsibilities are fragmented among organizations. This situation exists in the case study area, the Coeur d'Alene, Idaho---Spokane, Washington region. Primary qualitative data were collected through interviews with water management, use, allocation, and protection actors. Snowball sampling generated this interview sample. An interdisciplinary component integrated hydrology, environmental science, and engineering data to contextualize interviews, frame analysis, and provide biophysical information. Results were analyzed with respect to Structuration Theory's propositions and concepts. Overall, actors realized collaboration's benefits and held pro-collaborative perspectives, but regulations and institutional arrangements constrained collaboration's scope. Thus, collaborative behaviors were limited to data collection and sharing, capacity building, and relationship development. Norms, state, tribal, and federal regulations, and the differences between Washington and Idaho water management institutions were important components of the water management system. Even with trends towards collaboration and strategic, context-appropriate management behaviors, social structures informed behavior more than actors affected them. This study demonstrated Structuration Theory's explanatory value in framing and understanding complex water management systems. This successful application argues for the appropriateness of and need for enhanced empirical use of Structuration Theory within water management research.","Water-supply -- Co-management -- Case studies; Water-supply -- Co-management -- Idaho -- Idaho Panhandle -- Case studies; Water-supply -- Co-management -- Washington (State), Eastern -- Case studies; Water resources development -- Political aspects -- Idaho -- Idaho Panhandle -- Case studies; Water resources development -- Political aspects -- Washington (State), Eastern -- Case studies",eng,"1 online resource (viii, 169 pages)",ISBN: 9781321934687 ; ISBN: 1321934688,Ph. D.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71243330610001451,,,,,,,,,
ikdb121,CP71205353470001451,record,At the confluence of law and history : an investigation of water rights in Nez Perce country,Thesis,Megan E. Kernan,,Adam M. Sowards,Megan E. Kernan ; Adam M. Sowards,2014,,Water Resources,, | Major professor: Adam M. Sowards.; Includes bibliographical references (leaves 151-158).,,,,,Major professor: Adam M. Sowards.; Includes bibliographical references (leaves 151-158).,,Nez Percé Indians -- Idaho -- Government relations; Water rights -- Idaho; Nez Perce Tribe of Idaho,eng,leaves : 2 maps ; 28 cm,,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71205353470001451,,,,,,,,,
ikdb122,CP71308707280001451,record,Crow archaeology and oral history : the illustrative story of Arrow Shot Into Rock and the Little People of the Pryor Mountains,Thesis,Victoria L. Bochniak,,"Rodney Frey, 1950- degree supervisor.","Victoria L. Bochniak ; Rodney Frey, 1950- degree supervisor.",2017,,Anthropology,,"Abstract: Arrow Shot Into Rock, located in the Pryor Mountains of southern Montana, is a place for travelers to offer gifts in return for their safe passage through the Pryor Gap. These gifts have mostly been left by members of the Crow Tribe and meant for the Awa-Kulay, or Little People, living in the mountains. The Little People are described as dwarves that are both human and supernatural beings that can act as spiritual guides for the Crow Tribe. Based on Crow oral histories Arrow Shot Into Rock is the place where the Crow encountered the Little People for the first time. The story of Arrow Shot Into Rock has continued to be told since their first meeting. The Little People have become very important for many Crow people and they are seen across Crow Country, visiting individuals during vision quests, and at larger social events. Arrow Shot Into Rock has been known to people off the reservation as well, resulting in two archaeological excavations in 1939 and 1941. In full collaboration with the Crow Tribe, this thesis is a unique project incorporating ethnographic, archival, and archaeological research related to Arrow Shot Into Rock. The historical and archaeological aspects are reevaluated through multiple retellings of the Arrow Shot Into Rock story, with the goal of creating a more complete history of the sacred place within past and current Crow culture. | Major professor: Rodney Frey.; Includes bibliographical references (leaves 91-93).",,,,,Major professor: Rodney Frey.; Includes bibliographical references (leaves 91-93).,"Abstract: Arrow Shot Into Rock, located in the Pryor Mountains of southern Montana, is a place for travelers to offer gifts in return for their safe passage through the Pryor Gap. These gifts have mostly been left by members of the Crow Tribe and meant for the Awa-Kulay, or Little People, living in the mountains. The Little People are described as dwarves that are both human and supernatural beings that can act as spiritual guides for the Crow Tribe. Based on Crow oral histories Arrow Shot Into Rock is the place where the Crow encountered the Little People for the first time. The story of Arrow Shot Into Rock has continued to be told since their first meeting. The Little People have become very important for many Crow people and they are seen across Crow Country, visiting individuals during vision quests, and at larger social events. Arrow Shot Into Rock has been known to people off the reservation as well, resulting in two archaeological excavations in 1939 and 1941. In full collaboration with the Crow Tribe, this thesis is a unique project incorporating ethnographic, archival, and archaeological research related to Arrow Shot Into Rock. The historical and archaeological aspects are reevaluated through multiple retellings of the Arrow Shot Into Rock story, with the goal of creating a more complete history of the sacred place within past and current Crow culture.",Crow Indians -- Folklore; Indians of North America -- Montana -- Crow Indian Reservation -- Antiquities; Archaeological surveying -- Montana -- Crow Indian Reservation; Crow Indian Reservation (Mont.) -- Antiquities,eng,"ix, 109 leaves : illustrations (some color), map ; 29 cm",Print ISBN: 9781369456097,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71308707280001451,,,,,,,,,
ikdb123,CP71115119780001451,record,A structural analysis of four Nez Perce narratives,Thesis,Matthew M. Seidman,,,Matthew M. Seidman ; ,1997,,,, | Includes bibliographical references (leaves 162-166).,,,,,Includes bibliographical references (leaves 162-166).,,Nez Percé Indians -- Folklore; Nez Percé mythology; Structural anthropology; Folklore -- Structural analysis,eng,"viii, 166 leaves ; 29 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71115119780001451,,,,,,,,,
ikdb124,CP71145356490001451,record,An economic analysis of the Indian dry pea market,Thesis,Ravi Prakash,,,Ravi Prakash ; ,1992,,,, | Includes bibliographical references (leaves 61-65).,,,,,Includes bibliographical references (leaves 61-65).,,Dried peas -- India -- Marketing -- Mathematical models; Market surveys -- India -- Mathematical models; United States -- Commerce -- India; India -- Commerce -- United States,eng,"viii, 72 leaves : illustrations ; 28 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71145356490001451,,,,,,,,,
ikdb125,CP71149208780001451,record,"Preliminary research into the prehistory of Long Valley, Idaho",Thesis,Quentin Mark Arnold,,,Quentin Mark Arnold ; ,1983,,,, | Includes bibliographical references (leaves 144-148).,,,,,Includes bibliographical references (leaves 144-148).,,Excavations (Archaeology) -- Idaho -- Long Valley; Indians of North America -- Idaho -- Long Valley -- Antiquities; Long Valley (Idaho) -- Antiquities,eng,"xi, 148 leaves : illustrations, maps ; 28 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71149208780001451,,,,,,,,,
ikdb126,CP71107928890001451,record,"The occurrence of peripherally-flaked cobble tools in the Clearwater River Valley, north-central Idaho",Thesis,Daniel Marshall Mattson,,,Daniel Marshall Mattson ; ,1984,,,, | Includes bibliographical references (leaves 93-101).,,,,,Includes bibliographical references (leaves 93-101).,,Excavations (Archaeology) -- Idaho -- Clearwater River Valley; Indians of North America -- Implements -- Idaho -- Clearwater River Valley; Indians of North America -- Idaho -- Clearwater River Valley -- Antiquities; Clearwater River Valley (Idaho) -- Antiquities; Idaho -- Antiquities,eng,"x, 206 leaves : illustrations, maps ; 28 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71107928890001451,,,,,,,,,
ikdb127,CP71161087860001451,record,Dooley Mountain obsidian : a chronology of aboriginal use,Thesis,Stanley Alan McDonald,,,Stanley Alan McDonald ; ,1985,,,, | Includes bibliographical references (leaves 163-172).,,,,,Includes bibliographical references (leaves 163-172).,,Obsidian -- Oregon -- Dooley Mountain; Indians of North America -- Oregon -- Antiquities; Oregon -- Antiquities,eng,"xii, 225 leaves : illustrations, maps ; 28 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71161087860001451,,,,,,,,,
ikdb128,CP71148460750001451,record,Patterns of genetic variability among source and reintroduced populations of elk (Cervus elaphus) in the western states and a genetic assessment of antler abnormalities,Thesis,Jason Hicks,,,Jason Hicks ; ,2004,,,," | ""December 2004.""; Includes bibliographical references.",,,,,"""December 2004.""; Includes bibliographical references.",,Elk -- Reintroduction -- West (U.S.); Elk -- West (U.S.) -- Genetics; Elk -- Population viability analysis -- West (U.S.); Antlers -- Abnormalities -- Arizona -- Hualapai Indian Reservation,eng,"x, 77 leaves : illustrations, maps ; 29 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71148460750001451,,,,,,,,,
ikdb129,CP7197239180001451,record,Evaluating alternative target structures for an uneven-aged ponderosa pine stand using the stand prognosis model,Thesis,Ted S. Hensold,,,Ted S. Hensold ; ,1988,,,, | Includes bibliographical references (leaves 60-61).,,,,,Includes bibliographical references (leaves 60-61).,,Ponderosa pine; Forest site quality -- Washington (State) -- Spokane Indian Reservation; Forest management -- Washington (State) -- Spokane Indian Reservation,eng,"ix, 68 leaves : illustrations, map ; 28 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP7197239180001451,,,,,,,,,
ikdb130,CP71105497020001451,record,Tanoak sprout development after cutting and burning in a shade environment,Thesis,William Wilkinson,,,William Wilkinson ; ,1995,,,, | Includes bibliographical references (leaves 11-13).,,,,,Includes bibliographical references (leaves 11-13).,,Oak -- California -- Hoopa Valley Indian Reservation; Oak -- Breeding; Oak -- Pruning; Plants -- Effect of fires on,eng,"vii, 23 leaves : illustrations, map ; 29 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71105497020001451,,,,,,,,,
ikdb131,CP71366424240001451,record,Regency fashion : the muslin round gown,Thesis,Paulette Brook,,Sonya S. Meyer,Paulette Brook ; Sonya S. Meyer,2019,,,,"Abstract: Fashion mirrors culture. In the late Georgian and Regency Periods, the evolution of a particular gown reflected the political, social, economic, and religious attitudes and movements of the time. The white, round gown made from Indian muslin grew to popularity in the last decade of the 18th century. Originating in France then moving across the Channel to England, I demonstrated how changes in the round, muslin gown reflected socio-political events occurring during the period from 1799 to 1828. In the 1820s the fashion was declining and by 1830 gone from the world of dress in the nation and beyond. Contemporary women's journals of the era provided articles including images of current fashion. These sources offered primary information in a form from which data could be extracted and tabulated. Points were assigned to each garment based on the ""Classification System for Types of Dress and their Properties"" (Classification System) created by Mary Ellen Roach-Higgins and Joanne B. Eicher and the features suggested by Alden O'Brien; columnar shape, low neckline, high waistline, and white muslin fabric. For each image a zero per feature matching the criteria requisite to distinguish it a Regency gown was charted. For features such as attachments to enclosures indicated by Roach-Higgins and Eicher, one to three points were assigned. For example, if the skirt had a flounce it was given one point. More than one attachment increased the points for that skirt (enclosure for the lower body). The same method was applied to the bodice and sleeves as necessary. In viewing the data table created it was possible to see how and when the fashion was modified during the twenty-eight-year span of time. Consulting contemporary culture via historical accounts offered insight into what may have prompted a minimal or greater alteration in style. The table illustrates how the specific features of the gown morphed throughout the years. The greatest alteration occurred in the shape of the gown, which declined by 84% from columnar to a bell-shaped form, then the waistline which dropped by 48% from a very high waist to one that rested at or very near the natural waistline. The neckline and fabric (muslin) declined by 42% and 24% respectively. The feature with the least percentage of adjustment was the color of the gowns at 6%. Attachments to the enclosures signified the greatest change. Flounces on the skirts were the first to emerge followed by quilling and mancherons on the bodice. Each of these components increased over the period until there were multiple flounces, appliques, and puffings, on most gowns. As the attachments were added, the width of the skirt grew, the waistline dropped, the neckline rose, and the shoulders broadened. New fabrics and colors emerged also. The Regency gown of the early nineteenth century was gone by 1828. | Major professor: Meyer, Sonya S. Committee members: Sandra Evenson; Sean Quinlan; Ellen Kittell.; Includes bibliographical references (leaves 97-100).",,,,,"Major professor: Meyer, Sonya S. Committee members: Sandra Evenson; Sean Quinlan; Ellen Kittell.; Includes bibliographical references (leaves 97-100).","Abstract: Fashion mirrors culture. In the late Georgian and Regency Periods, the evolution of a particular gown reflected the political, social, economic, and religious attitudes and movements of the time. The white, round gown made from Indian muslin grew to popularity in the last decade of the 18th century. Originating in France then moving across the Channel to England, I demonstrated how changes in the round, muslin gown reflected socio-political events occurring during the period from 1799 to 1828. In the 1820s the fashion was declining and by 1830 gone from the world of dress in the nation and beyond. Contemporary women's journals of the era provided articles including images of current fashion. These sources offered primary information in a form from which data could be extracted and tabulated. Points were assigned to each garment based on the ""Classification System for Types of Dress and their Properties"" (Classification System) created by Mary Ellen Roach-Higgins and Joanne B. Eicher and the features suggested by Alden O'Brien; columnar shape, low neckline, high waistline, and white muslin fabric. For each image a zero per feature matching the criteria requisite to distinguish it a Regency gown was charted. For features such as attachments to enclosures indicated by Roach-Higgins and Eicher, one to three points were assigned. For example, if the skirt had a flounce it was given one point. More than one attachment increased the points for that skirt (enclosure for the lower body). The same method was applied to the bodice and sleeves as necessary. In viewing the data table created it was possible to see how and when the fashion was modified during the twenty-eight-year span of time. Consulting contemporary culture via historical accounts offered insight into what may have prompted a minimal or greater alteration in style. The table illustrates how the specific features of the gown morphed throughout the years. The greatest alteration occurred in the shape of the gown, which declined by 84% from columnar to a bell-shaped form, then the waistline which dropped by 48% from a very high waist to one that rested at or very near the natural waistline. The neckline and fabric (muslin) declined by 42% and 24% respectively. The feature with the least percentage of adjustment was the color of the gowns at 6%. Attachments to the enclosures signified the greatest change. Flounces on the skirts were the first to emerge followed by quilling and mancherons on the bodice. Each of these components increased over the period until there were multiple flounces, appliques, and puffings, on most gowns. As the attachments were added, the width of the skirt grew, the waistline dropped, the neckline rose, and the shoulders broadened. New fabrics and colors emerged also. The Regency gown of the early nineteenth century was gone by 1828.",Clothing and dress -- Great Britain -- History -- 19th century; Clothing and dress -- Great Britain -- History -- 18th century; Fashion -- Great Britain -- History -- 18th century; Fashion -- Great Britain -- History -- 19th century; Muslin -- History; Textile fabrics,eng,"118 leaves : illustrations (chiefly color), map ; 29 cm",ISBN: 9798662431959,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71366424240001451,,,,,,,,,
ikdb132,CP71143086100001451,record,"A technological and morphological assessment of lithic assemblages from White Mesa, San Juan County, southeast Utah",Thesis,Michael P. Benson,,,Michael P. Benson ; ,1983,,,, | Includes bibliographical references (leaves 133-143).,,,,,Includes bibliographical references (leaves 133-143).,,Excavations (Archaeology) -- Utah -- San Juan County; Stone implements -- Utah -- San Juan County; Indians of North America -- Implements -- Utah -- San Juan County; Indians of North America -- Utah -- San Juan County -- Antiquities; Utah -- Antiquities,eng,"ix, 162 leaves : illustrations, maps ; 28 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71143086100001451,,,,,,,,,
ikdb133,CP71120204160001451,record,"An archaeological assessment of Curlew Lake, Ferry County, Washington",Thesis,Madilane Perry,,,Madilane Perry ; ,1989,,,, | Includes bibliographical references (leaves 138-146).,,,,,Includes bibliographical references (leaves 138-146).,,Excavations (Archaeology) -- Washington (State) -- Curlew Lake; Indians of North America -- Washington (State) -- Curlew Lake; Curlew Lake (Wash.) -- Antiquities; Washington (State) -- Antiquities,eng,"x, 146 leaves : illustrations, maps ; 28 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71120204160001451,,,,,,,,,
ikdb134,CP71105115930001451,record,A wilderness of space and time : Leslie Marmon Silko's Almanac of the dead,Thesis,Rebecca Fromdahl,,,Rebecca Fromdahl ; ,1996,,,, | Includes bibliographical references (leaves 61-63).,,,,,Includes bibliographical references (leaves 61-63).,,"Silko, Leslie Marmon, 1948- Almanac of the dead; Indians in literature; Time in literature; Life cycle (Biology) in literature",eng,"v, 63 leaves ; 29 cm",,M.A.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71105115930001451,,,,,,,,,
ikdb135,CP71182516230001451,record,Archaeological investigations at Waiilatpu,Thesis,Cheryl Anne Beal,,,Cheryl Anne Beal ; ,1991,,,, | Includes bibliographical references (leaves 296-303).,,,,,Includes bibliographical references (leaves 296-303).,,"Excavations (Archaeology) -- Washington (State) -- Whitman Mission National Historic Site; Ceramic tableware -- Washington (State) -- Whitman Mission National Historic Site; Whitman Massacre, 1847; Cayuse Indians -- Missions; Indians of North America -- Missions -- Southern States; Whitman Mission National Historic Site (Wash.)",eng,"xvi, 303 leaves : illustrations, maps ; 28 cm",,M.S.,University of Idaho.,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/1j5b4no/CP71182516230001451,,,,,,,,,
